"uid","school_name","date","year","time","day_of_week","city","state","school_type","enrollment","killed","injured","casualties","shooting_type","age_shooter1","gender_shooter1","race_ethnicity_shooter1","shooter_relationship1","shooter_deceased1","deceased_notes1","age_shooter2","gender_shooter2","race_ethnicity_shooter2","shooter_relationship2","shooter_deceased2","deceased_notes2","white","black","hispanic","asian","american_indian_alaska_native","hawaiian_native_pacific_islander","two_or_more","resource_officer","weapon","weapon_source","lat","long","low_grade","high_grade","county","school","id"
1,"Columbine High School","4/20/1999",1999,11:19:00,"Tuesday","Littleton","Colorado","public",1965,13,21,34,"indiscriminate",18,"m","w","student",1,"suicide",17,"m","w","student",1,"suicide",1783,16,112,42,12,NA,NA,1,"12-gauge Savage-Springfield 67H pump-action shotgun, Hi-Point 995 Carbine 9 mm carbine, 9_19mm Intratec TEC-9 semi-automatic handgun, 12-gauge Stevens 311D double-barreled sawed-off shotgun","purchased from friends",39.60391,-105.075,"9","12","Jefferson County","High",1
2,"Scotlandville Middle School","4/22/1999",1999,12:30:00,"Thursday","Baton Rouge","Louisiana","public",588,0,1,1,"targeted",14,"m",NA,"former student (expelled)",0,NA,NA,NA,NA,NA,NA,NA,5,583,0,0,0,NA,NA,0,".22 caliber pistol",NA,30.529958,-91.169966,"6","8","East Baton Rouge Parish","Middle",2
3,"Heritage High School","5/20/1999",1999,08:03:00,"Thursday","Conyers","Georgia","public",1369,0,6,6,"indiscriminate",15,"m","w","student",0,NA,NA,NA,NA,NA,NA,NA,1189,136,28,15,1,NA,NA,1,".22 caliber rifle, 357-caliber Magnum handgun",NA,33.626922,-84.04796,"9","12","Rockdale County","High",3
4,"John Bartram High School","10/4/1999",1999,10:00:00,"Monday","Philadelphia","Pennsylvania","public",3147,0,1,1,"targeted",17,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,209,2736,27,170,5,NA,NA,1,"RG .25-caliber pistol","purchased from friend",39.921509,-75.234108,"9","12","Philadelphia County","High",4
5,"Dorchester High School","11/3/1999",1999,07:40:00,"Wednesday","Boston","Massachusetts","public",1116,0,1,1,"targeted",NA,"m",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,40,755,287,29,5,NA,NA,0,NA,NA,42.285268,-71.075901,"9","12","Suffolk County","High",5
6,"Deming Middle School","11/19/1999",1999,12:45:00,"Friday","Deming","New Mexico","public",753,1,0,1,"accidental or targeted",12,"m","h","student",0,NA,NA,NA,NA,NA,NA,NA,160,6,583,2,2,NA,NA,0,".22-caliber Colt revolver","home",32.261547,-107.762986,"6","7","Luna County","Middle",6
7,"Fort Gibson Middle School","12/6/1999",1999,07:45:00,"Monday","Fort Gibson","Oklahoma","public",407,0,5,5,"indiscriminate",13,"m","ai","student",0,NA,NA,NA,NA,NA,NA,NA,239,3,12,0,153,NA,NA,0,"Taurus 9mm pistol","father",35.795556,-95.241921,"6","8","Muskogee County","Middle",7
8,"Ridgewood High School","1/19/2000",2000,15:00:00,"Wednesday","New Port Richey","Florida","public",1852,1,0,1,"accidental",16,"m","w","student",0,NA,NA,NA,NA,NA,NA,NA,1697,28,96,26,5,NA,NA,1,".22-caliber Magnum handgun","stolen",28.273253,-82.687231,"9","12","Pasco County","High",8
9,"Alicia Reyes Elementary School","1/26/2000",2000,08:34:00,"Wednesday","Merced","California","public",734,0,0,0,"targeted",13,"m",NA,"no connection",0,NA,NA,NA,NA,NA,NA,NA,82,40,389,222,1,NA,NA,0,".22 caliber revolver",NA,37.286387,-120.494808,"KG","5","Merced County","Elementary",9
10,"Duke Ellington Elementary School","2/14/2000",2000,NA,"Monday","Chicago","Illinois","public",736,0,1,1,"accidental",11,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,0,736,0,0,0,NA,NA,0,NA,NA,41.885272,-87.766042,"PK","6","Cook County","Elementary",10
11,"Horn Lake High School","2/22/2000",2000,NA,"Tuesday","Horn Lake","Mississippi","public",1197,0,0,0,"targeted",NA,"m",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,991,166,25,14,1,NA,NA,0,"handgun",NA,34.948919,-90.035423,"9","12","DeSoto County","High",11
